TA_id,No_of_doubts
1940,21
6974,1
8709,27
10064,15
11519,8
13430,8
13443,147
14491,58
15082,19
16027,71
16332,2
18159,17
18338,26
18976,43
19167,17
19706,26
19839,73
20991,13
22168,15
22200,27
23403,36
23839,12
24418,14
25964,52
26712,24
27368,29
28716,13
29011,5
29564,15
32114,2
33921,39
34034,23
34120,57
34801,12
35759,76
36496,23
36526,10
37707,12
37843,2
38663,9
38704,7
41916,5
41919,76
42694,16
42834,35
43283,14
43738,91
44368,89
44538,141
44667,16
46005,17
47173,71
47359,5
50408,97
57222,52
57782,1
59249,36
59431,5
64850,33
64985,16
68099,18
71630,12
79641,48
80495,26
84811,1
90782,3
92901,20
106179,9
107173,5
108746,21
112367,32
116016,2
117532,25
117612,46
120623,78
120964,70
121098,3
123919,1
126618,4
127311,52
129364,106
133932,82
136471,74
142512,15
146334,2
147524,3
149304,17
149721,13
152601,21
152773,66
153283,53
156881,26
156891,2
157639,20
157979,12
158146,10
161259,51
162336,10
163412,25
163823,68
164611,57
165071,1
165368,5
165790,17
170607,16
170696,12
170702,35
171176,59
171260,30
172741,12
173141,42
173143,56
173282,2
174596,14
175223,27
175277,51
176891,13
177315,17
178512,70
178731,7
184640,35
186431,39
192895,20
194154,33
199962,52
200604,89
204942,24
207602,5
208720,40
210608,47
212508,3
213730,28
218573,32
221598,64
222833,8
224133,59
265305,73
279604,46
282306,65
296700,128
309608,3
331381,29
343098,38
368274,1
